,CustomerID,Recency,Frequency,Monetory,R,F,M,RFM,LoyaltyLevel
47,49.0,50,72,222570.0,2,2,1,5,Platinum
48,50.0,33,101,332786.0,2,1,1,4,Platinum
49,51.0,79,109,1385284.0,3,1,1,5,Platinum
50,52.0,309,25,61000.0,4,3,3,10,Silver
51,53.0,75,58,157322.0,3,2,2,7,Gold
52,54.0,68,36,81494.0,3,3,3,9,Silver
53,55.0,219,15,57781.0,4,4,3,11,Bronze
54,56.0,25,699,14385095.0,2,1,1,4,Platinum
55,57.0,4,183,392340.0,1,1,1,3,Platinum
56,58.0,113,34,86360.0,3,3,2,8,Gold
57,59.0,65,29,80913.0,3,3,3,9,Silver
58,60.0,16,41,87913.0,1,3,2,6,Gold
59,61.0,96,38,91062.0,3,3,2,8,Gold
60,62.0,3,117,229979.0,1,1,1,3,Platinum
61,63.0,163,30,200188.0,4,3,2,9,Silver
62,64.0,79,36,97807.0,3,3,2,8,Gold
63,65.0,195,29,62672.0,4,3,3,10,Silver
64,66.0,24,28,101608.0,2,3,2,7,Gold
65,67.0,26,287,804536.0,2,1,1,4,Platinum
66,68.0,10,94,407444.0,1,2,1,4,Platinum
67,69.0,45,10,27584.0,2,4,4,10,Silver
68,70.0,38,234,795826.0,2,1,1,4,Platinum
69,71.0,43,107,526849.0,2,1,1,4,Platinum
70,72.0,1,420,1870543.0,1,1,1,3,Platinum
71,73.0,85,50,99632.0,3,2,2,7,Gold
72,74.0,80,36,896714.0,3,3,1,7,Gold
73,75.0,102,15,52453.0,3,4,3,10,Silver
74,76.0,3,184,566503.0,1,1,1,3,Platinum
75,77.0,15,96,304853.0,1,2,1,4,Platinum
76,78.0,367,10,21144.0,4,4,4,12,Bronze
77,79.0,4,11,21598.0,1,4,4,9,Silver
78,80.0,22,173,465037.0,2,1,1,4,Platinum
79,81.0,25,3,9948.0,2,4,4,10,Silver
80,82.0,58,57,117966.0,3,2,2,7,Gold
81,83.0,244,25,53855.0,4,3,3,10,Silver
82,84.0,45,21,48432.0,2,3,3,8,Gold
83,85.0,23,187,435921.0,2,1,1,4,Platinum
84,86.0,163,8,26814.0,4,4,4,12,Bronze
85,87.0,12,353,1230748.0,1,1,1,3,Platinum
86,88.0,17,20,41312.0,1,3,3,7,Gold
87,89.0,135,43,95624.0,3,2,2,7,Gold
88,90.0,57,15,389836.0,3,4,1,8,Gold
89,91.0,74,85,335450.0,3,2,1,6,Gold
90,92.0,45,122,331818.0,2,1,1,4,Platinum
91,93.0,73,60,251417.0,3,2,1,6,Gold
92,94.0,73,36,108842.0,3,3,2,8,Gold
93,95.0,155,34,76450.0,4,3,3,10,Silver
94,96.0,19,60,124824.0,1,2,2,5,Platinum
95,97.0,54,79,164513.0,3,2,2,7,Gold
96,98.0,11,22,99624.0,1,3,2,6,Gold
97,99.0,19,45,88594.0,1,2,2,5,Platinum
98,100.0,188,36,85862.0,4,3,3,10,Silver
99,101.0,3,438,2049141.0,1,1,1,3,Platinum
100,102.0,33,332,820111.0,2,1,1,4,Platinum
101,103.0,54,161,391713.0,3,1,1,5,Platinum
102,104.0,18,408,919351.0,1,1,1,3,Platinum
103,105.0,54,35,95322.0,3,3,2,8,Gold
104,106.0,16,224,724773.0,1,1,1,3,Platinum
105,107.0,23,300,1499405.0,2,1,1,4,Platinum
106,108.0,4,35,68029.0,1,3,3,7,Gold
107,109.0,12,30,63304.0,1,3,3,7,Gold
108,110.0,29,150,375459.0,2,1,1,4,Platinum
109,111.0,23,209,674016.0,2,1,1,4,Platinum
110,112.0,18,68,249088.0,1,2,1,4,Platinum
111,113.0,36,342,508503.0,2,1,1,4,Platinum
112,114.0,10,54,155349.0,1,2,2,5,Platinum
113,115.0,337,14,35243.0,4,4,4,12,Bronze
114,116.0,6,235,631870.0,1,1,1,3,Platinum
115,117.0,39,25,57912.0,2,3,3,8,Gold
116,118.0,65,18,32436.0,3,3,4,10,Silver
117,119.0,166,21,52584.0,4,3,3,10,Silver
118,120.0,16,71,145236.0,1,2,2,5,Platinum
119,121.0,82,13,162800.0,3,4,2,9,Silver
120,122.0,22,21,41174.0,2,3,3,8,Gold
121,123.0,24,52,544504.0,2,2,1,5,Platinum
122,124.0,337,148,283173.0,4,1,1,6,Gold
123,125.0,96,142,335427.0,3,1,1,5,Platinum
124,127.0,19,8,46139.0,1,4,3,8,Gold
125,129.0,234,23,8398.0,4,3,4,11,Bronze
126,130.0,135,20,136785.0,3,3,2,8,Gold
127,131.0,27,69,53515.0,2,2,3,7,Gold
128,132.0,288,6,17688.0,4,4,4,12,Bronze
129,133.0,145,31,100745.0,4,3,2,9,Silver
130,134.0,67,34,18915.0,3,3,4,10,Silver
131,135.0,113,34,79676.0,3,3,3,9,Silver
132,136.0,268,51,125408.0,4,2,2,8,Gold
133,137.0,354,15,35685.0,4,4,4,12,Bronze
134,138.0,78,24,160118.0,3,3,2,8,Gold
135,139.0,29,281,302273.0,2,1,1,4,Platinum
136,140.0,1,119,253627.0,1,1,1,3,Platinum
137,141.0,65,17,35580.0,3,4,4,11,Bronze
138,142.0,80,147,311756.0,3,1,1,5,Platinum
139,143.0,143,37,68427.0,3,3,3,9,Silver
140,144.0,40,10,29723.0,2,4,4,10,Silver
141,145.0,20,102,212349.0,2,1,1,4,Platinum
142,146.0,15,136,593226.0,1,1,1,3,Platinum
143,147.0,1,68,151615.0,1,2,2,5,Platinum
144,148.0,86,17,46012.0,3,4,3,10,Silver
145,149.0,10,86,204647.0,1,2,2,5,Platinum
146,150.0,60,62,191646.0,3,2,2,7,Gold
147,151.0,15,17,14983.0,1,4,4,9,Silver
148,152.0,31,15,38806.0,2,4,4,10,Silver
149,153.0,131,62,131589.0,3,2,2,7,Gold
150,154.0,92,34,85411.0,3,3,3,9,Silver
151,155.0,60,259,579052.0,3,1,1,5,Platinum
152,156.0,30,21,45271.0,2,3,3,8,Gold
153,157.0,23,273,662579.0,2,1,1,4,Platinum
154,158.0,20,461,1500798.0,2,1,1,4,Platinum
155,159.0,30,49,119829.0,2,2,2,6,Gold
156,160.0,37,18,36682.0,2,3,4,9,Silver
157,161.0,76,48,109849.0,3,2,2,7,Gold
158,162.0,47,67,134154.0,2,2,2,6,Gold
159,163.0,207,6,21996.0,4,4,4,12,Bronze
160,164.0,167,4,8088.0,4,4,4,12,Bronze
161,165.0,80,56,111488.0,3,2,2,7,Gold
162,166.0,358,10,21970.0,4,4,4,12,Bronze
163,167.0,40,19,38249.0,2,3,4,9,Silver
164,168.0,9,182,424920.0,1,1,1,3,Platinum
165,169.0,51,121,78463.0,2,1,3,6,Gold
166,170.0,21,27,544128.0,2,3,1,6,Gold
167,171.0,9,11,38522.0,1,4,4,9,Silver
168,172.0,314,20,66350.0,4,3,3,10,Silver
169,173.0,6,103,242772.0,1,1,1,3,Platinum
170,174.0,304,16,29545.0,4,4,4,12,Bronze
171,175.0,10,161,426744.0,1,1,1,3,Platinum
172,176.0,263,20,46932.0,4,3,3,10,Silver
173,177.0,289,9,18526.0,4,4,4,12,Bronze
174,178.0,87,18,43596.0,3,3,3,9,Silver
175,179.0,23,438,1068073.0,2,1,1,4,Platinum
176,180.0,4,157,403568.0,1,1,1,3,Platinum
177,181.0,40,34,80348.0,2,3,3,8,Gold
178,182.0,9,58,112008.0,1,2,2,5,Platinum
179,183.0,228,28,19601.0,4,3,4,11,Bronze
180,184.0,316,10,21914.0,4,4,4,12,Bronze
181,185.0,36,88,179968.0,2,2,2,6,Gold
182,186.0,36,146,91914.0,2,1,2,5,Platinum
183,187.0,22,112,305723.0,2,1,1,4,Platinum
184,188.0,79,28,51894.0,3,3,3,9,Silver
185,189.0,247,23,48818.0,4,3,3,10,Silver
186,190.0,40,14,26300.0,2,4,4,10,Silver
187,191.0,239,20,49548.0,4,3,3,10,Silver
188,192.0,3,232,940065.0,1,1,1,3,Platinum
189,193.0,6,95,245289.0,1,2,1,4,Platinum
190,194.0,235,85,253024.0,4,2,1,7,Gold
191,195.0,18,11,21761.0,1,4,4,9,Silver
192,196.0,9,3,11840.0,1,4,4,9,Silver
193,197.0,40,9,19257.0,2,4,4,10,Silver
194,198.0,30,33,72872.0,2,3,3,8,Gold
195,199.0,212,67,1126330.0,4,2,1,7,Gold
196,200.0,318,25,48876.0,4,3,3,10,Silver
197,201.0,94,16,56894.0,3,4,3,10,Silver
198,202.0,110,20,49189.0,3,3,3,9,Silver
199,203.0,47,114,406263.0,2,1,1,4,Platinum
200,204.0,52,25,73777.0,2,3,3,8,Gold
201,205.0,20,202,434069.0,2,1,1,4,Platinum
202,206.0,10,127,381333.0,1,1,1,3,Platinum
203,207.0,30,55,136620.0,2,2,2,6,Gold
204,208.0,29,54,266897.0,2,2,1,5,Platinum
205,209.0,192,23,61550.0,4,3,3,10,Silver
206,210.0,60,12,22148.0,3,4,4,11,Bronze
207,211.0,25,1,66584.0,2,4,3,9,Silver
208,212.0,81,15,32404.0,3,4,4,11,Bronze
209,214.0,61,101,221218.0,3,1,1,5,Platinum
210,215.0,79,57,128931.0,3,2,2,7,Gold
211,216.0,24,102,225048.0,2,1,1,4,Platinum
212,217.0,53,65,163374.0,3,2,2,7,Gold
213,218.0,75,18,78896.0,3,3,3,9,Silver
214,219.0,58,149,390308.0,3,1,1,5,Platinum
215,220.0,278,20,35371.0,4,3,4,11,Bronze
216,221.0,3,101,273666.0,1,1,1,3,Platinum
217,222.0,96,30,76578.0,3,3,3,9,Silver
218,223.0,30,42,45614.0,2,2,3,7,Gold
219,224.0,22,10,17462.0,2,4,4,10,Silver
220,225.0,18,82,465339.0,1,2,1,4,Platinum
221,226.0,15,91,192194.0,1,2,2,5,Platinum
222,227.0,2,449,1584405.0,1,1,1,3,Platinum
223,228.0,233,10,19714.0,4,4,4,12,Bronze
224,229.0,277,17,34377.0,4,4,4,12,Bronze
225,230.0,107,36,74810.0,3,3,3,9,Silver
226,231.0,212,84,312048.0,4,2,1,7,Gold
227,232.0,24,285,766691.0,2,1,1,4,Platinum
228,233.0,11,224,547037.0,1,1,1,3,Platinum
229,234.0,5,38,94297.0,1,3,2,6,Gold
230,235.0,10,62,133115.0,1,2,2,5,Platinum
231,236.0,58,30,59362.0,3,3,3,9,Silver
232,237.0,59,97,255699.0,3,2,1,6,Gold
233,238.0,90,99,207962.0,3,2,2,7,Gold
234,239.0,68,387,745760.0,3,1,1,5,Platinum
235,240.0,34,38,83074.0,2,3,3,8,Gold
236,241.0,239,21,45669.0,4,3,3,10,Silver
237,242.0,25,50,111655.0,2,2,2,6,Gold
238,243.0,116,9,17803.0,3,4,4,11,Bronze
239,244.0,27,44,117382.0,2,2,2,6,Gold
240,245.0,130,17,291394.0,3,4,1,8,Gold
241,246.0,130,31,67129.0,3,3,3,9,Silver
242,247.0,34,69,212202.0,2,2,1,5,Platinum
243,248.0,5,45,182772.0,1,2,2,5,Platinum
244,249.0,23,110,394423.0,2,1,1,4,Platinum
245,250.0,155,20,35705.0,4,3,4,11,Bronze
246,251.0,108,29,80028.0,3,3,3,9,Silver
247,252.0,4,19,35984.0,1,3,4,8,Gold
248,253.0,336,9,16065.0,4,4,4,12,Bronze
249,254.0,332,47,101474.0,4,2,2,8,Gold
250,255.0,149,43,266350.0,4,2,1,7,Gold
251,256.0,13,34,65543.0,1,3,3,7,Gold
252,257.0,19,121,451870.0,1,1,1,3,Platinum
253,258.0,12,44,188592.0,1,2,2,5,Platinum
254,259.0,19,35,77407.0,1,3,3,7,Gold
255,260.0,31,4,11160.0,2,4,4,10,Silver
256,261.0,13,12,30294.0,1,4,4,9,Silver
257,262.0,1,220,458759.0,1,1,1,3,Platinum
258,263.0,10,28,511104.0,1,3,1,5,Platinum
259,264.0,333,2,6252.0,4,4,4,12,Bronze
260,266.0,59,32,70122.0,3,3,3,9,Silver
261,267.0,12,157,393219.0,1,1,1,3,Platinum
262,268.0,151,98,200790.0,4,2,2,8,Gold
263,269.0,11,87,350458.0,1,2,1,4,Platinum
264,270.0,331,10,26968.0,4,4,4,12,Bronze
265,271.0,6,41,76200.0,1,3,3,7,Gold
266,272.0,40,79,245256.0,2,2,1,5,Platinum
267,273.0,26,39,147640.0,2,3,2,7,Gold
268,274.0,43,156,2011928.0,2,1,1,4,Platinum
269,275.0,60,44,123406.0,3,2,2,7,Gold
270,276.0,1,49,97967.0,1,2,2,5,Platinum
271,277.0,16,616,1608655.0,1,1,1,3,Platinum
272,278.0,4,496,1396584.0,1,1,1,3,Platinum
273,279.0,5,331,1000877.0,1,1,1,3,Platinum
274,280.0,11,98,323115.0,1,2,1,4,Platinum
275,281.0,29,151,329227.0,2,1,1,4,Platinum
276,282.0,375,6,11570.0,4,4,4,12,Bronze
277,283.0,114,171,631238.0,3,1,1,5,Platinum
278,284.0,26,70,148131.0,2,2,2,6,Gold
279,285.0,206,15,39598.0,4,4,3,11,Bronze
280,286.0,36,27,114558.0,2,3,2,7,Gold
281,287.0,128,35,83193.0,3,3,3,9,Silver
282,288.0,71,35,103693.0,3,3,2,8,Gold
283,289.0,9,27,69255.0,1,3,3,7,Gold
284,290.0,29,38,101799.0,2,3,2,7,Gold
285,291.0,8,264,614008.0,1,1,1,3,Platinum
286,292.0,80,51,100749.0,3,2,2,7,Gold
287,293.0,20,11,23052.0,2,4,4,10,Silver
288,294.0,72,20,33674.0,3,3,4,10,Silver
289,295.0,9,81,235070.0,1,2,1,4,Platinum
290,296.0,16,328,847355.0,1,1,1,3,Platinum
291,297.0,292,33,72796.0,4,3,3,10,Silver
292,298.0,33,147,305092.0,2,1,1,4,Platinum
293,299.0,16,203,1149304.0,1,1,1,3,Platinum
294,300.0,97,74,146330.0,3,2,2,7,Gold
295,301.0,29,120,440270.0,2,1,1,4,Platinum
296,302.0,1,37,106928.0,1,3,2,6,Gold
297,303.0,10,254,575673.0,1,1,1,3,Platinum
298,304.0,107,20,37608.0,3,3,4,10,Silver
299,305.0,4,67,131467.0,1,2,2,5,Platinum
300,306.0,152,53,110145.0,4,2,2,8,Gold
301,307.0,72,18,32715.0,3,3,4,10,Silver
302,308.0,6,37,76914.0,1,3,3,7,Gold
303,309.0,3,342,747446.0,1,1,1,3,Platinum
304,310.0,32,155,335926.0,2,1,1,4,Platinum
305,311.0,90,52,129420.0,3,2,2,7,Gold
306,312.0,4,68,91023.0,1,2,2,5,Platinum
307,313.0,7,49,115089.0,1,2,2,5,Platinum
308,314.0,372,23,43142.0,4,3,3,10,Silver
309,315.0,29,117,390149.0,2,1,1,4,Platinum
310,316.0,11,132,443366.0,1,1,1,3,Platinum
311,317.0,72,42,91772.0,3,2,2,7,Gold
312,318.0,114,25,55630.0,3,3,3,9,Silver
313,319.0,24,273,2308964.0,2,1,1,4,Platinum
314,320.0,180,11,26680.0,4,4,4,12,Bronze
315,321.0,235,22,43360.0,4,3,3,10,Silver
316,322.0,356,4,17596.0,4,4,4,12,Bronze
317,323.0,317,41,87299.0,4,3,2,9,Silver
318,324.0,333,3,24024.0,4,4,4,12,Bronze
319,325.0,373,10,21355.0,4,4,4,12,Bronze
320,326.0,100,37,122634.0,3,3,2,8,Gold
321,327.0,64,27,62408.0,3,3,3,9,Silver
322,328.0,135,134,67823.0,3,1,3,7,Gold
323,329.0,57,215,1189651.0,3,1,1,5,Platinum
324,330.0,3,103,479956.0,1,1,1,3,Platinum
325,331.0,1,4580,4466106.0,1,1,1,3,Platinum
326,332.0,4,199,492592.0,1,1,1,3,Platinum
327,333.0,129,15,33848.0,3,4,4,11,Bronze
328,334.0,82,53,561920.0,3,2,1,6,Gold
329,335.0,23,197,2709712.0,2,1,1,4,Platinum
330,336.0,236,63,613410.0,4,2,1,7,Gold
331,337.0,282,3,1956.0,4,4,4,12,Bronze
332,338.0,87,4,21072.0,3,4,4,11,Bronze
333,339.0,16,365,551253.0,1,1,1,3,Platinum
334,340.0,117,97,375967.0,3,2,1,6,Gold
335,341.0,53,92,178480.0,3,2,2,7,Gold
336,342.0,8,67,226818.0,1,2,1,4,Platinum
337,343.0,141,18,62484.0,3,3,3,9,Silver
338,344.0,317,45,186675.0,4,2,2,8,Gold
339,345.0,4,306,822597.0,1,1,1,3,Platinum
340,346.0,239,32,132446.0,4,3,2,9,Silver
341,347.0,212,12,178814.0,4,4,2,10,Silver
342,348.0,60,54,103103.0,3,2,2,7,Gold
343,349.0,19,61,170308.0,1,2,2,5,Platinum
344,350.0,20,44,117303.0,2,2,2,6,Gold
345,351.0,38,149,494826.0,2,1,1,4,Platinum
346,352.0,64,24,103856.0,3,3,2,8,Gold
347,353.0,5,98,242916.0,1,2,1,4,Platinum
348,354.0,3,78,161072.0,1,2,2,5,Platinum
349,355.0,16,58,67068.0,1,2,3,6,Gold
350,356.0,365,13,31331.0,4,4,4,12,Bronze
351,357.0,12,17,57822.0,1,4,3,8,Gold
352,358.0,69,3,7771.0,3,4,4,11,Bronze
353,359.0,193,20,38140.0,4,3,4,11,Bronze
354,360.0,375,1,27360.0,4,4,4,12,Bronze
355,361.0,257,24,45942.0,4,3,3,10,Silver
356,362.0,335,22,63051.0,4,3,3,10,Silver
357,363.0,54,45,116840.0,3,2,2,7,Gold
358,364.0,19,13,34491.0,1,4,4,9,Silver
359,365.0,369,12,27371.0,4,4,4,12,Bronze
360,366.0,173,6,267792.0,4,4,1,9,Silver
361,367.0,187,24,53246.0,4,3,3,10,Silver
362,368.0,40,27,55433.0,2,3,3,8,Gold
363,369.0,178,24,49030.0,4,3,3,10,Silver
364,370.0,263,28,57589.0,4,3,3,10,Silver
365,371.0,45,15,32596.0,2,4,4,10,Silver
366,372.0,103,1,11952.0,3,4,4,11,Bronze
367,373.0,149,45,106741.0,4,2,2,8,Gold
368,374.0,96,27,51582.0,3,3,3,9,Silver
369,375.0,284,3,15336.0,4,4,4,12,Bronze
370,376.0,262,13,149350.0,4,4,2,10,Silver
371,377.0,4,59,130678.0,1,2,2,5,Platinum
372,378.0,216,6,12198.0,4,4,4,12,Bronze
373,379.0,72,46,124896.0,3,2,2,7,Gold
374,380.0,80,5,187830.0,3,4,2,9,Silver
375,381.0,60,25,51028.0,3,3,3,9,Silver
376,382.0,3,91,195875.0,1,2,2,5,Platinum
377,383.0,9,25,56419.0,1,3,3,7,Gold
378,384.0,6,56,125062.0,1,2,2,5,Platinum
379,385.0,337,11,51269.0,4,4,3,11,Bronze
380,386.0,40,36,1028696.0,2,3,1,6,Gold
381,387.0,263,9,28791.0,4,4,4,12,Bronze
382,388.0,33,27,48021.0,2,3,3,8,Gold
383,389.0,146,24,49573.0,4,3,3,10,Silver
384,390.0,283,18,37240.0,4,3,4,11,Bronze
385,391.0,60,175,315762.0,3,1,1,5,Platinum
386,392.0,174,12,14774.0,4,4,4,12,Bronze
387,393.0,34,123,86503.0,2,1,2,5,Platinum
388,394.0,3,314,752717.0,1,1,1,3,Platinum
389,395.0,144,113,352477.0,4,1,1,6,Gold
390,396.0,5,420,548440.0,1,1,1,3,Platinum
391,397.0,71,34,140634.0,3,3,2,8,Gold
392,398.0,74,103,208013.0,3,1,2,6,Gold
393,399.0,30,52,39466.0,2,2,3,7,Gold
394,400.0,271,27,43628.0,4,3,3,10,Silver
395,401.0,23,91,127997.0,2,2,2,6,Gold
396,402.0,32,49,134920.0,2,2,2,6,Gold
397,403.0,97,50,18150.0,3,2,4,9,Silver
398,404.0,295,17,39266.0,4,4,4,12,Bronze
399,405.0,135,78,233792.0,3,2,1,6,Gold
400,406.0,80,110,163559.0,3,1,2,6,Gold
401,407.0,373,3,4728.0,4,4,4,12,Bronze
402,408.0,8,314,277211.0,1,1,1,3,Platinum
403,409.0,211,46,123904.0,4,2,2,8,Gold
404,410.0,54,5,61048.0,3,4,3,10,Silver
405,411.0,140,3,31152.0,3,4,4,11,Bronze
406,412.0,27,95,206761.0,2,2,2,6,Gold
407,413.0,284,25,59304.0,4,3,3,10,Silver
408,414.0,27,538,630043.0,2,1,1,4,Platinum
409,415.0,186,107,208612.0,4,1,2,7,Gold
410,417.0,85,11,44518.0,3,4,3,10,Silver
411,418.0,327,66,73421.0,4,2,3,9,Silver
412,419.0,283,4,44744.0,4,4,3,11,Bronze
413,420.0,150,1,30846.0,4,4,4,12,Bronze
414,421.0,58,83,308777.0,3,2,1,6,Gold
415,422.0,4,154,214162.0,1,1,1,3,Platinum
416,423.0,237,47,115511.0,4,2,2,8,Gold
417,424.0,47,10,72222.0,2,4,3,9,Silver
418,425.0,276,7,30694.0,4,4,4,12,Bronze
419,426.0,10,13,156624.0,1,4,2,7,Gold
420,427.0,25,42,78180.0,2,2,3,7,Gold
421,428.0,89,7,32195.0,3,4,4,11,Bronze
422,429.0,64,71,154990.0,3,2,2,7,Gold
423,430.0,68,82,176674.0,3,2,2,7,Gold
424,431.0,220,5,39880.0,4,4,3,11,Bronze
425,432.0,25,82,49953.0,2,2,3,7,Gold
426,433.0,191,3,76050.0,4,4,3,11,Bronze
427,434.0,31,34,23974.0,2,3,4,9,Silver
428,435.0,45,22,48139.0,2,3,3,8,Gold
429,436.0,205,4,27084.0,4,4,4,12,Bronze
430,437.0,14,107,1296156.0,1,1,1,3,Platinum
431,438.0,267,10,17244.0,4,4,4,12,Bronze
432,439.0,19,72,67161.0,1,2,3,6,Gold
433,440.0,12,63,373610.0,1,2,1,4,Platinum
434,441.0,185,2,132600.0,4,4,2,10,Silver
435,442.0,40,91,284709.0,2,2,1,5,Platinum
436,443.0,25,75,393252.0,2,2,1,5,Platinum
437,444.0,7,24,197798.0,1,3,2,6,Gold
438,445.0,5,50,314931.0,1,2,1,4,Platinum
439,446.0,149,22,39997.0,4,3,3,10,Silver
440,447.0,139,107,354411.0,3,1,1,5,Platinum
441,448.0,131,2,68520.0,3,4,3,10,Silver
442,449.0,10,50,168147.0,1,2,2,5,Platinum
443,450.0,18,28,23752.0,1,3,4,8,Gold
444,451.0,10,720,2133743.0,1,1,1,3,Platinum
445,452.0,162,28,53858.0,4,3,3,10,Silver
446,453.0,65,28,20657.0,3,3,4,10,Silver
447,454.0,89,29,113428.0,3,3,2,8,Gold
448,455.0,5,45,90726.0,1,2,2,5,Platinum
449,456.0,37,84,297164.0,2,2,1,5,Platinum
450,457.0,312,8,13523.0,4,4,4,12,Bronze
451,458.0,79,25,55359.0,3,3,3,9,Silver
452,459.0,22,69,3224042.0,2,2,1,5,Platinum
453,460.0,25,106,83101.0,2,1,3,6,Gold
454,461.0,3,129,307571.0,1,1,1,3,Platinum
455,462.0,18,62,141502.0,1,2,2,5,Platinum
456,463.0,16,120,200553.0,1,1,2,4,Platinum
457,464.0,27,9,19458.0,2,4,4,10,Silver
458,465.0,66,47,1406976.0,3,2,1,6,Gold
459,466.0,55,99,109997.0,3,2,2,7,Gold
460,467.0,132,75,77673.0,3,2,3,8,Gold
461,469.0,36,30,73898.0,2,3,3,8,Gold
462,470.0,289,23,56428.0,4,3,3,10,Silver
463,471.0,145,97,218908.0,4,2,1,7,Gold
464,472.0,17,116,267713.0,1,1,1,3,Platinum
465,473.0,31,215,543889.0,2,1,1,4,Platinum
466,474.0,3,23,235382.0,1,3,1,5,Platinum
467,475.0,10,63,129620.0,1,2,2,5,Platinum
468,476.0,6,79,171197.0,1,2,2,5,Platinum
469,477.0,10,17,38045.0,1,4,4,9,Silver
470,478.0,2,180,666300.0,1,1,1,3,Platinum
471,479.0,307,19,12774.0,4,3,4,11,Bronze
472,480.0,10,238,520996.0,1,1,1,3,Platinum
473,481.0,8,16,34125.0,1,4,4,9,Silver
474,482.0,9,95,231113.0,1,2,1,4,Platinum
475,483.0,90,109,94209.0,3,1,2,6,Gold
476,484.0,11,10,19526.0,1,4,4,9,Silver
477,485.0,364,19,192206.0,4,3,2,9,Silver
478,486.0,113,5,17062.0,3,4,4,11,Bronze
479,487.0,8,151,60410.0,1,1,3,5,Platinum
480,488.0,5,305,1610541.0,1,1,1,3,Platinum
481,489.0,198,8,15351.0,4,4,4,12,Bronze
482,490.0,212,22,106980.0,4,3,2,9,Silver
483,491.0,158,9,4438.0,4,4,4,12,Bronze
484,492.0,165,20,772662.0,4,3,1,8,Gold
485,493.0,30,20,52852.0,2,3,3,8,Gold
486,494.0,243,28,52752.0,4,3,3,10,Silver
487,495.0,21,4,10454.0,2,4,4,10,Silver
488,496.0,1,76,220970.0,1,2,1,4,Platinum
489,497.0,74,28,70316.0,3,3,3,9,Silver
490,498.0,293,92,60365.0,4,2,3,9,Silver
491,499.0,6,63,696022.0,1,2,1,4,Platinum
492,500.0,35,13,48380.0,2,4,3,9,Silver
493,501.0,24,31,70444.0,2,3,3,8,Gold
494,502.0,25,27,53197.0,2,3,3,8,Gold
495,503.0,5,61,118755.0,1,2,2,5,Platinum
496,504.0,89,3,27288.0,3,4,4,11,Bronze
497,505.0,23,59,156353.0,2,2,2,6,Gold
498,506.0,197,28,63967.0,4,3,3,10,Silver
499,507.0,109,31,69528.0,3,3,3,9,Silver
500,508.0,6,339,1300739.0,1,1,1,3,Platinum
501,509.0,320,7,16994.0,4,4,4,12,Bronze
502,510.0,109,6,19676.0,3,4,4,11,Bronze
503,511.0,12,404,800183.0,1,1,1,3,Platinum
504,512.0,174,26,60476.0,4,3,3,10,Silver
